         9512 function calls (9468 primitive calls) in 0.260 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.001    0.000 abc.py:105(register)
       76    0.000    0.000    0.001    0.000 sre_parse.py:201(get)
        1    0.001    0.001    0.001    0.001 hashlib.py:55(<module>)
        1    0.001    0.001    0.001    0.001 calendar.py:6(<module>)
        1    0.000    0.000    0.001    0.001 periodic_executor.py:15(<module>)
       86    0.000    0.000    0.001    0.000 sre_parse.py:182(__next)
        1    0.001    0.001    0.001    0.001 ssl_support.py:15(<module>)
      381    0.001    0.000    0.001    0.000 {method 'isalnum' of 'str' objects}
       23    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
        8    0.001    0.000    0.001    0.000 sre_compile.py:258(_mk_bitmap)
      264    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      328    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.001    0.001 thread_util.py:15(<module>)
        1    0.000    0.000    0.001    0.001 dbref.py:15(<module>)
        1    0.000    0.000    0.000    0.000 pool.py:389(_configured_socket)
        1    0.000    0.000    0.000    0.000 database.py:15(<module>)
        1    0.000    0.000    0.000    0.000 pool.py:335(_create_connection)
        3    0.000    0.000    0.000    0.000 server.py:30(open)
        3    0.000    0.000    0.000    0.000 monitor.py:69(open)
        1    0.000    0.000    0.000    0.000 ssl.py:56(<module>)
  268/263    0.000    0.000    0.000    0.000 {len}
        1    0.000    0.000    0.000    0.000 binary.py:15(<module>)
        1    0.000    0.000    0.000    0.000 server.py:15(<module>)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        4    0.000    0.000    0.000    0.000 abc.py:86(__new__)
        1    0.000    0.000    0.000    0.000 client_options.py:107(__init__)
        1    0.000    0.000    0.000    0.000 message.py:21(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
       26    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 idna.py:147(encode)
        1    0.000    0.000    0.000    0.000 bulk.py:18(<module>)
        3    0.000    0.000    0.000    0.000 threading.py:656(__init__)
        1    0.000    0.000    0.000    0.000 {posix.popen}
        1    0.000    0.000    0.000    0.000 idna.py:62(ToASCII)
        2    0.000    0.000    0.000    0.000 {pymongo._cmessage._query_message}
        5    0.000    0.000    0.000    0.000 codec_options.py:43(__new__)
        1    0.000    0.000    0.000    0.000 topology.py:38(__init__)
        5    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
       38    0.000    0.000    0.000    0.000 sre_parse.py:130(__getitem__)
       50    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
       11    0.000    0.000    0.000    0.000 threading.py:241(Condition)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 son.py:19(<module>)
       40    0.000    0.000    0.000    0.000 collections.py:355(<genexpr>)
        6    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
        1    0.000    0.000    0.000    0.000 settings.py:15(<module>)
      115    0.000    0.000    0.000    0.000 {isinstance}
        2    0.000    0.000    0.000    0.000 {_ctypes.dlopen}
       40    0.000    0.000    0.000    0.000 collections.py:353(<genexpr>)
        1    0.000    0.000    0.000    0.000 operations.py:15(<module>)
    16/10    0.000    0.000    0.000    0.000 sre_parse.py:140(getwidth)
        1    0.000    0.000    0.000    0.000 <string>:1(CodecOptions)
        5    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        1    0.000    0.000    0.000    0.000 stringprep.py:6(<module>)
       91    0.000    0.000    0.000    0.000 {getattr}
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
       11    0.000    0.000    0.000    0.000 threading.py:259(__init__)
        1    0.000    0.000    0.000    0.000 timestamp.py:16(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1090(__init__)
        1    0.000    0.000    0.000    0.000 results.py:15(<module>)
        1    0.000    0.000    0.000    0.000 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 py3compat.py:15(<module>)
        1    0.000    0.000    0.000    0.000 monotonic.py:16(<module>)
        1    0.000    0.000    0.000    0.000 network.py:15(<module>)
        1    0.000    0.000    0.000    0.000 settings.py:99(get_server_descriptions)
        1    0.000    0.000    0.000    0.000 cursor.py:15(<module>)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
        2    0.000    0.000    0.000    0.000 pool.py:419(__init__)
       86    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       15    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x919120}
        1    0.000    0.000    0.000    0.000 server_description.py:38(__init__)
        1    0.000    0.000    0.000    0.000 son_manipulator.py:19(<module>)
        1    0.000    0.000    0.000    0.000 client_options.py:88(_parse_pool_options)
      4/1    0.000    0.000    0.000    0.000 contextlib.py:21(__exit__)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        3    0.000    0.000    0.000    0.000 threading.py:541(Event)
        1    0.000    0.000    0.000    0.000 mongo_client.py:67(MongoClient)
        1    0.000    0.000    0.000    0.000 thread_util.py:28(Semaphore)
        9    0.000    0.000    0.000    0.000 {repr}
        3    0.000    0.000    0.000    0.000 threading.py:560(__init__)
        1    0.000    0.000    0.000    0.000 server_description.py:15(<module>)
       15    0.000    0.000    0.000    0.000 {hasattr}
        4    0.000    0.000    0.000    0.000 uuid.py:101(__init__)
        2    0.000    0.000    0.000    0.000 database.py:204(__getattr__)
       66    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 ismaster.py:15(<module>)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 {dir}
        1    0.000    0.000    0.000    0.000 unicode_escape.py:8(<module>)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
       19    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        6    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
        2    0.000    0.000    0.000    0.000 thread_util.py:124(create_semaphore)
        1    0.000    0.000    0.000    0.000 {_socket.getaddrinfo}
        2    0.000    0.000    0.000    0.000 helpers.py:87(_unpack_response)
        1    0.000    0.000    0.000    0.000 message.py:78(_Query)
        1    0.000    0.000    0.000    0.000 objectid.py:55(ObjectId)
        2    0.000    0.000    0.000    0.000 database.py:218(__getitem__)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        2    0.000    0.000    0.000    0.000 mongo_client.py:652(_get_topology)
        4    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
        2    0.000    0.000    0.000    0.000 {thread.start_new_thread}
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
        2    0.000    0.000    0.000    0.000 thread_util.py:79(__init__)
        1    0.000    0.000    0.000    0.000 database.py:50(Database)
        2    0.000    0.000    0.000    0.000 collection.py:73(__init__)
       27    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
        1    0.000    0.000    0.000    0.000 topology.py:114(select_server)
        3    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
       18    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
       45    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       34    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 response.py:15(<module>)
        2    0.000    0.000    0.000    0.000 thread_util.py:32(__init__)
        1    0.000    0.000    0.000    0.000 topology.py:350(_create_pool_for_server)
       26    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 socket.py:179(_socketobject)
        1    0.000    0.000    0.000    0.000 server.py:23(Server)
        1    0.000    0.000    0.000    0.000 pool.py:556(return_socket)
       37    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.000    0.000 random.py:91(__init__)
       12    0.000    0.000    0.000    0.000 sre_compile.py:472(isstring)
        2    0.000    0.000    0.000    0.000 periodic_executor.py:27(__init__)
        1    0.000    0.000    0.000    0.000 mongo_client.py:788(__getattr__)
        1    0.000    0.000    0.000    0.000 monitor.py:29(__init__)
        1    0.000    0.000    0.000    0.000 monitor.py:15(<module>)
       18    0.000    0.000    0.000    0.000 {range}
        1    0.000    0.000    0.000    0.000 tz_util.py:15(<module>)
        1    0.000    0.000    0.000    0.000 read_preferences.py:294(ReadPreference)
        1    0.000    0.000    0.000    0.000 collection.py:69(Collection)
        1    0.000    0.000    0.000    0.000 client_options.py:58(_parse_ssl_options)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 pool.py:418(Pool)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 random.py:100(seed)
       48    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 int64.py:15(<module>)
       40    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 command_cursor.py:15(<module>)
        3    0.000    0.000    0.000    0.000 son.py:184(update)
        2    0.000    0.000    0.000    0.000 __init__.py:375(__getattr__)
        1    0.000    0.000    0.000    0.000 mongo_client.py:803(__getitem__)
        2    0.000    0.000    0.000    0.000 common.py:447(validate)
        1    0.000    0.000    0.000    0.000 topology.py:62(select_servers)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
       40    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        2    0.000    0.000    0.000    0.000 thread_util.py:143(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:185(__init__)
        1    0.000    0.000    0.000    0.000 database.py:54(__init__)
       38    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 ssl_context.py:15(<module>)
        4    0.000    0.000    0.000    0.000 common.py:473(__init__)
        1    0.000    0.000    0.000    0.000 regex.py:16(<module>)
        1    0.000    0.000    0.000    0.000 code.py:16(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        2    0.000    0.000    0.000    0.000 {method 'tostring' of 'array.array' objects}
        1    0.000    0.000    0.000    0.000 son.py:89(__init__)
        4    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
        2    0.000    0.000    0.000    0.000 ismaster.py:51(__init__)
        1    0.000    0.000    0.000    0.000 son.py:100(__repr__)
       24    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.000    0.000 write_concern.py:15(<module>)
