         9512 function calls (9468 primitive calls) in 0.260 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 code.py:22(Code)
        1    0.000    0.000    0.000    0.000 calendar.py:501(LocaleTextCalendar)
        1    0.000    0.000    0.000    0.000 topology_description.py:30(TopologyDescription)
        1    0.000    0.000    0.000    0.000 read_preferences.py:65(_ServerMode)
        4    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        4    0.000    0.000    0.000    0.000 son.py:126(__iter__)
        2    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 command_cursor.py:64(batch_size)
        1    0.000    0.000    0.000    0.000 bulk.py:476(BulkWriteOperation)
        1    0.000    0.000    0.000    0.000 urlparse.py:73(ResultMixin)
        1    0.000    0.000    0.000    0.000 calendar.py:126(Calendar)
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 timestamp.py:26(Timestamp)
        1    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 write_concern.py:20(WriteConcern)
        2    0.000    0.000    0.000    0.000 {math.log}
        4    0.000    0.000    0.000    0.000 {thread.get_ident}
        1    0.000    0.000    0.000    0.000 common.py:466(BaseObject)
        1    0.000    0.000    0.000    0.000 results.py:160(BulkWriteResult)
        2    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        1    0.000    0.000    0.000    0.000 urllib.py:610(FancyURLopener)
        2    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 ssl_context.py:23(SSLContext)
        4    0.000    0.000    0.000    0.000 contextlib.py:12(__init__)
        1    0.000    0.000    0.000    0.000 errors.py:93(OperationFailure)
        1    0.000    0.000    0.000    0.000 server_description.py:137(is_server_type_known)
        1    0.000    0.000    0.000    0.000 threading.py:789(_set_ident)
        1    0.000    0.000    0.000    0.000 topology.py:163(get_server_by_address)
        1    0.000    0.000    0.000    0.000 {_socket.gethostname}
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
        1    0.000    0.000    0.000    0.000 response.py:18(Response)
        1    0.000    0.000    0.000    0.000 results.py:70(InsertManyResult)
        1    0.000    0.000    0.000    0.000 database.py:1056(SystemJS)
        3    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 collections.py:387(Counter)
        1    0.000    0.000    0.000    0.000 urllib.py:854(ftpwrapper)
        3    0.000    0.000    0.000    0.000 {_weakref.proxy}
        1    0.000    0.000    0.000    0.000 ismaster.py:89(replica_set_name)
        3    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 _abcoll.py:98(__subclasshook__)
        3    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
        1    0.000    0.000    0.000    0.000 settings.py:91(get_topology_type)
        3    0.000    0.000    0.000    0.000 pool.py:89(connect_timeout)
        1    0.000    0.000    0.000    0.000 topology_description.py:88(has_server)
        4    0.000    0.000    0.000    0.000 ismaster.py:64(server_type)
        1    0.000    0.000    0.000    0.000 ismaster.py:114(election_id)
        1    0.000    0.000    0.000    0.000 binary.py:181(UUIDLegacy)
        3    0.000    0.000    0.000    0.000 settings.py:71(condition_class)
        1    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 cursor.py:46(CursorType)
        1    0.000    0.000    0.000    0.000 {method 'update' of '_hashlib.HASH' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:428(LibraryLoader)
        1    0.000    0.000    0.000    0.000 results.py:92(UpdateResult)
        3    0.000    0.000    0.000    0.000 database.py:149(name)
        1    0.000    0.000    0.000    0.000 ismaster.py:81(primary)
        1    0.000    0.000    0.000    0.000 monitor.py:28(Monitor)
        1    0.000    0.000    0.000    0.000 ismaster.py:106(min_wire_version)
        1    0.000    0.000    0.000    0.000 database.py:38(_check_name)
        3    0.000    0.000    0.000    0.000 common.py:498(write_concern)
        1    0.000    0.000    0.000    0.000 threading.py:1128(_DummyThread)
        1    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
        1    0.000    0.000    0.000    0.000 hmac.py:20(HMAC)
        2    0.000    0.000    0.000    0.000 calendar.py:71(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:254(_Condition)
        1    0.000    0.000    0.000    0.000 bulk.py:195(_Bulk)
        1    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
        4    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
        1    0.000    0.000    0.000    0.000 calendar.py:259(TextCalendar)
        2    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 io.py:69(IOBase)
        1    0.000    0.000    0.000    0.000 contextlib.py:9(GeneratorContextManager)
        1    0.000    0.000    0.000    0.000 min_key.py:19(MinKey)
        1    0.000    0.000    0.000    0.000 int64.py:23(Int64)
        1    0.000    0.000    0.000    0.000 socket.py:167(_closedsocket)
        1    0.000    0.000    0.000    0.000 read_preferences.py:141(Primary)
        2    0.000    0.000    0.000    0.000 pool.py:115(ssl_context)
        1    0.000    0.000    0.000    0.000 message.py:110(_GetMore)
        1    0.000    0.000    0.000    0.000 bulk.py:531(BulkOperationBuilder)
        1    0.000    0.000    0.000    0.000 {_ctypes.set_conversion_mode}
        1    0.000    0.000    0.000    0.000 operations.py:178(IndexModel)
        1    0.000    0.000    0.000    0.000 cursor_manager.py:33(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:551(_Event)
        1    0.000    0.000    0.000    0.000 errors.py:28(InvalidStringData)
        1    0.000    0.000    0.000    0.000 son_manipulator.py:116(AutoReference)
        1    0.000    0.000    0.000    0.000 ismaster.py:76(tags)
        2    0.000    0.000    0.000    0.000 calendar.py:52(__init__)
        2    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 tz_util.py:23(FixedOffset)
        1    0.000    0.000    0.000    0.000 results.py:138(DeleteResult)
        2    0.000    0.000    0.000    0.000 tz_util.py:47(dst)
        1    0.000    0.000    0.000    0.000 thread_util.py:134(Event)
        2    0.000    0.000    0.000    0.000 pool.py:81(max_pool_size)
        1    0.000    0.000    0.000    0.000 write_concern.py:50(__init__)
        2    0.000    0.000    0.000    0.000 pool.py:108(wait_queue_multiple)
        1    0.000    0.000    0.000    0.000 {math.sqrt}
        1    0.000    0.000    0.000    0.000 max_key.py:19(MaxKey)
        2    0.000    0.000    0.000    0.000 threading.py:1008(daemon)
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
        1    0.000    0.000    0.000    0.000 calendar.py:21(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 response.py:42(ExhaustResponse)
        1    0.000    0.000    0.000    0.000 periodic_executor.py:26(PeriodicExecutor)
        1    0.000    0.000    0.000    0.000 bulk.py:439(BulkUpsertOperation)
        2    0.000    0.000    0.000    0.000 settings.py:59(pool_class)
        1    0.000    0.000    0.000    0.000 read_preferences.py:167(PrimaryPreferred)
        1    0.000    0.000    0.000    0.000 codec_options.py:28(CodecOptions)
        2    0.000    0.000    0.000    0.000 {method 'itervalues' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 contextlib.py:132(closing)
        1    0.000    0.000    0.000    0.000 ascii.py:13(Codec)
        1    0.000    0.000    0.000    0.000 son_manipulator.py:28(SONManipulator)
        1    0.000    0.000    0.000    0.000 read_preferences.py:249(Nearest)
        1    0.000    0.000    0.000    0.000 urllib.py:110(ContentTooShortError)
        1    0.000    0.000    0.000    0.000 threading.py:1088(_MainThread)
        1    0.000    0.000    0.000    0.000 read_preferences.py:196(Secondary)
        1    0.000    0.000    0.000    0.000 idna.py:146(Codec)
        1    0.000    0.000    0.000    0.000 thread_util.py:77(BoundedSemaphore)
        2    0.000    0.000    0.000    0.000 server_description.py:103(min_wire_version)
        1    0.000    0.000    0.000    0.000 urllib.py:949(addbase)
        1    0.000    0.000    0.000    0.000 operations.py:100(ReplaceOne)
        1    0.000    0.000    0.000    0.000 server.py:24(__init__)
        2    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 random.py:800(SystemRandom)
        1    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
        1    0.000    0.000    0.000    0.000 topology_description.py:79(check_compatible)
        1    0.000    0.000    0.000    0.000 threading.py:56(_Verbose)
        1    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        1    0.000    0.000    0.000    0.000 read_preferences.py:357(MovingAverage)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        1    0.000    0.000    0.000    0.000 cursor.py:77(_SocketManager)
        1    0.000    0.000    0.000    0.000 results.py:54(InsertOneResult)
        1    0.000    0.000    0.000    0.000 __init__.py:159(py_object)
        2    0.000    0.000    0.000    0.000 topology_description.py:116(topology_type)
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 unicode_escape.py:13(Codec)
        2    0.000    0.000    0.000    0.000 ismaster.py:118(is_writable)
        2    0.000    0.000    0.000    0.000 __init__.py:429(__init__)
        2    0.000    0.000    0.000    0.000 server_description.py:107(max_wire_version)
        1    0.000    0.000    0.000    0.000 read_preferences.py:359(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:138(setfirstweekday)
        1    0.000    0.000    0.000    0.000 thread_util.py:101(MaxWaitersBoundedSemaphore)
        1    0.000    0.000    0.000    0.000 results.py:20(_WriteResult)
        1    0.000    0.000    0.000    0.000 threading.py:422(_Semaphore)
        1    0.000    0.000    0.000    0.000 read_preferences.py:220(SecondaryPreferred)
        1    0.000    0.000    0.000    0.000 _endian.py:49(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 errors.py:197(ExceededMaxWaiters)
        1    0.000    0.000    0.000    0.000 urllib.py:1003(addinfourl)
        1    0.000    0.000    0.000    0.000 son_manipulator.py:86(ObjectIdShuffler)
        1    0.000    0.000    0.000    0.000 threading.py:514(_BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 operations.py:152(UpdateMany)
        1    0.000    0.000    0.000    0.000 bulk.py:57(_Run)
        1    0.000    0.000    0.000    0.000 operations.py:58(DeleteOne)
        1    0.000    0.000    0.000    0.000 errors.py:33(InvalidDocument)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar_p)
        1    0.000    0.000    0.000    0.000 errors.py:60(NotMasterError)
        1    0.000    0.000    0.000    0.000 io.py:72(RawIOBase)
        1    0.000    0.000    0.000    0.000 cursor_manager.py:30(CursorManager)
        1    0.000    0.000    0.000    0.000 {method 'toordinal' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 client_options.py:139(server_selection_timeout)
        1    0.000    0.000    0.000    0.000 errors.py:124(CursorNotFound)
        1    0.000    0.000    0.000    0.000 mongo_replica_set_client.py:22(MongoReplicaSetClient)
        1    0.000    0.000    0.000    0.000 urllib.py:993(addinfo)
        1    0.000    0.000    0.000    0.000 errors.py:23(InvalidBSON)
        1    0.000    0.000    0.000    0.000 son_manipulator.py:67(ObjectIdInjector)
        1    0.000    0.000    0.000    0.000 errors.py:167(DuplicateKeyError)
        1    0.000    0.000    0.000    0.000 __init__.py:294(c_wchar)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 io.py:75(BufferedIOBase)
        1    0.000    0.000    0.000    0.000 errors.py:33(AutoReconnect)
        1    0.000    0.000    0.000    0.000 common.py:174(validate_positive_integer_or_none)
        1    0.000    0.000    0.000    0.000 unicode_escape.py:28(StreamWriter)
        1    0.000    0.000    0.000    0.000 ascii.py:28(StreamWriter)
        1    0.000    0.000    0.000    0.000 io.py:78(TextIOBase)
        1    0.000    0.000    0.000    0.000 thread_util.py:90(DummySemaphore)
        1    0.000    0.000    0.000    0.000 calendar.py:28(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 ascii.py:24(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ushort)
        1    0.000    0.000    0.000    0.000 tz_util.py:41(utcoffset)
        1    0.000    0.000    0.000    0.000 urlparse.py:121(SplitResult)
        1    0.000    0.000    0.000    0.000 urlparse.py:129(ParseResult)
        1    0.000    0.000    0.000    0.000 client_options.py:29(_parse_credentials)
        1    0.000    0.000    0.000    0.000 unicode_escape.py:20(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 pool.py:95(socket_timeout)
        1    0.000    0.000    0.000    0.000 urllib.py:978(addclosehook)
        1    0.000    0.000    0.000    0.000 errors.py:142(WriteConcernError)
        1    0.000    0.000    0.000    0.000 server.py:114(pool)
        1    0.000    0.000    0.000    0.000 errors.py:50(NetworkTimeout)
        2    0.000    0.000    0.000    0.000 settings.py:63(pool_options)
        1    0.000    0.000    0.000    0.000 settings.py:83(direct)
        1    0.000    0.000    0.000    0.000 errors.py:181(InvalidOperation)
        1    0.000    0.000    0.000    0.000 operations.py:36(InsertOne)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
        1    0.000    0.000    0.000    0.000 settings.py:67(monitor_class)
        1    0.000    0.000    0.000    0.000 operations.py:79(DeleteMany)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 operations.py:126(UpdateOne)
        1    0.000    0.000    0.000    0.000 calendar.py:488(TimeEncoding)
        1    0.000    0.000    0.000    0.000 database.py:144(client)
        1    0.000    0.000    0.000    0.000 calendar.py:536(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 settings.py:55(replica_set_name)
        1    0.000    0.000    0.000    0.000 client_options.py:129(credentials)
        1    0.000    0.000    0.000    0.000 errors.py:149(WriteError)
        1    0.000    0.000    0.000    0.000 idna.py:274(StreamReader)
        1    0.000    0.000    0.000    0.000 settings.py:50(seeds)
        1    0.000    0.000    0.000    0.000 errors.py:75(ServerSelectionTimeoutError)
        1    0.000    0.000    0.000    0.000 errors.py:206(DocumentTooLarge)
        1    0.000    0.000    0.000    0.000 errors.py:132(ExecutionTimeout)
        1    0.000    0.000    0.000    0.000 ascii.py:20(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 server_description.py:64(address)
        1    0.000    0.000    0.000    0.000 ascii.py:34(StreamConverter)
        1    0.000    0.000    0.000    0.000 idna.py:231(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_short)
        1    0.000    0.000    0.000    0.000 settings.py:79(server_selection_timeout)
        1    0.000    0.000    0.000    0.000 ascii.py:31(StreamReader)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
        1    0.000    0.000    0.000    0.000 pool.py:127(socket_keepalive)
        1    0.000    0.000    0.000    0.000 client_options.py:134(local_threshold_ms)
        1    0.000    0.000    0.000    0.000 ssl.py:101(CertificateError)
        1    0.000    0.000    0.000    0.000 __init__.py:388(PyDLL)
        1    0.000    0.000    0.000    0.000 client_options.py:124(codec_options)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
        1    0.000    0.000    0.000    0.000 errors.py:193(InvalidURI)
        1    0.000    0.000    0.000    0.000 errors.py:88(ConfigurationError)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_int)
        1    0.000    0.000    0.000    0.000 client_options.py:154(replica_set_name)
        1    0.000    0.000    0.000    0.000 errors.py:29(ConnectionFailure)
        1    0.000    0.000    0.000    0.000 pool.py:101(wait_queue_timeout)
        1    0.000    0.000    0.000    0.000 server_description.py:68(server_type)
        1    0.000    0.000    0.000    0.000 errors.py:156(WTimeoutError)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.000    0.000    0.000    0.000 operations.py:21(_WriteOp)
        1    0.000    0.000    0.000    0.000 _endian.py:26(_swapped_meta)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_ulong)
        1    0.000    0.000    0.000    0.000 errors.py:38(InvalidId)
        1    0.000    0.000    0.000    0.000 errors.py:25(PyMongoError)
        1    0.000    0.000    0.000    0.000 unicode_escape.py:24(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 client_options.py:159(write_concern)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha512}
        1    0.000    0.000    0.000    0.000 collection.py:56(ReturnDocument)
        1    0.000    0.000    0.000    0.000 pool.py:257(check_auth)
        1    0.000    0.000    0.000    0.000 son_manipulator.py:105(NamespaceInjector)
        1    0.000    0.000    0.000    0.000 __init__.py:176(c_long)
        1    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1097(_set_daemon)
        1    0.000    0.000    0.000    0.000 idna.py:197(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 thread_util.py:118(MaxWaitersBoundedSemaphoreThread)
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        1    0.000    0.000    0.000    0.000 idna.py:271(StreamWriter)
        1    0.000    0.000    0.000    0.000 errors.py:18(BSONError)
        1    0.000    0.000    0.000    0.000 errors.py:171(BulkWriteError)
        1    0.000    0.000    0.000    0.000 unicode_escape.py:31(StreamReader)
        1    0.000    0.000    0.000    0.000 {hash}
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
        1    0.000    0.000    0.000    0.000 pool.py:121(ssl_match_hostname)
        1    0.000    0.000    0.000    0.000 topology.py:262(description)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        1    0.000    0.000    0.000    0.000 client_options.py:149(read_preference)
        1    0.000    0.000    0.000    0.000 errors.py:185(InvalidName)
        1    0.000    0.000    0.000    0.000 errors.py:189(CollectionInvalid)
        1    0.000    0.000    0.000    0.000 client_options.py:144(pool_options)
        1    0.000    0.000    0.000    0.000 ismaster.py:122(is_readable)


